t, ir, imu 
91.19000, -265707973.77314, -4294887448.00000
91.24000, -55153257.91643, -4294887948.00000
91.29000, 119034303.79084, -4294888148.00000
91.34000, 250123702.89058, -4294887648.00000
91.39000, 345702062.47078, 18100.00000
91.44000, 1703877923.59694, 21968.00000
91.49000, 2141191947.41495, 25112.00000
91.54000, 1220230742.89070, 27462.00000
91.59000, 922069125.96899, 26792.00000
91.64000, 563307479.34352, 23206.00000
91.69000, 260025232.61159, 21560.00000
91.74000, 28536885.20594, 20236.00000
91.79000, -162807565.13891, 19230.00000
91.84000, -307453497.04354, -4294886448.00000
91.89000, -1706775047.05891, -4294888148.00000
91.94000, -2178047351.81957, -4294887948.00000
91.99000, -1283874870.60805, -4294888148.00000
92.04000, -1006154374.89065, -4294889448.00000
92.09000, -662040639.96585, -4294887948.00000
92.14000, -368252572.15438, -4294887948.00000
92.19000, -141752434.36626, -4294887948.00000
92.24000, 48476722.24295, -4294886448.00000
92.29000, 195261144.85447, 18796.00000
92.34000, 1599383438.59859, 21550.00000
92.39000, 2077563108.08882, 25924.00000
92.44000, 1191891344.93589, 27952.00000
92.49000, 923793983.03836, 26154.00000
92.54000, 590004015.04973, 24068.00000
92.59000, 306873799.33320, 22698.00000
92.64000, 91046901.11872, 21348.00000
92.69000, -88763954.55701, 19154.00000
92.74000, -225604953.00489, -4294887648.00000
92.79000, -1620434409.73222, -4294886148.00000
92.84000, -2090102406.49166, 18634.00000
92.89000, 96763985.42051, 17010.00000
92.94000, 771131928.39016, -4294888148.00000
92.99000, -1119096179.25210, -4294888448.00000
93.04000, -1525515019.55102, -4294885648.00000
93.09000, -710002366.54487, 17552.00000
93.14000, 787869678.40288, 21378.00000
93.19000, 1474012643.17907, 25658.00000
93.24000, 767038729.41150, 28782.00000
93.29000, 639526574.30904, 28416.00000
93.34000, 432969602.77670, 23436.00000
93.39000, 253739329.56675, 22968.00000
93.44000, 123077793.20871, 18634.00000
93.49000, 11051643.36971, -4294888148.00000
93.54000, -1367570677.02852, -4294888148.00000
93.59000, -1830795220.80585, -4294886948.00000
93.64000, -939624572.98675, -4294886448.00000
93.69000, -673575179.54980, -4294886948.00000
93.74000, -348281635.11067, 16410.00000
93.79000, 1214789092.12418, -4294887448.00000
93.84000, 519065864.99737, -4294887448.00000
93.89000, -657327700.15977, -4294886648.00000
93.94000, 98620278.01609, -4294886148.00000
93.99000, 130921564.43763, 20230.00000
94.04000, 1538072890.82174, 26196.00000
94.09000, 2037692707.96171, 29192.00000
94.14000, 1145165009.64897, 28888.00000
94.19000, 880458879.28472, 25870.00000
94.24000, 546413106.27935, 23012.00000
94.29000, 262633062.34489, 19636.00000
94.34000, 46317231.71476, -4294887448.00000
94.39000, -1427668267.53855, -4294886948.00000
94.44000, -1964424558.31659, 16520.00000
94.49000, 164030912.65841, -4294885648.00000
94.54000, -504941614.24336, -4294885348.00000
94.59000, -1542464600.51827, -4294885348.00000
94.64000, -646577102.72889, -4294887148.00000
94.69000, -498658479.70832, 16394.00000
94.74000, 1025332776.10922, -4294886148.00000
94.79000, 337290828.38530, -4294889448.00000
94.84000, -857872997.24141, -4294890248.00000
94.89000, -98847981.26527, -4294886148.00000
94.94000, -60562368.68354, 19468.00000
94.99000, 1357340183.52462, 22396.00000
95.04000, 1871865294.32779, 26870.00000
95.09000, 996668101.38806, 31436.00000
95.14000, 751087883.87423, 29328.00000
95.19000, 437074301.59824, 24960.00000
95.24000, 173536850.26000, 20330.00000
95.29000, -22900553.99189, 17858.00000
95.34000, -184296608.24030, -4294885348.00000
95.39000, -1597233681.35040, -4294887448.00000
95.44000, -2081809276.85866, -4294888148.00000
95.49000, -1200770986.35170, -4294886648.00000
95.54000, -935379414.91510, -4294886948.00000
95.59000, -602932781.72316, -4294886948.00000
