t, ir, imu 
241.24,-0.26054,-16038
241.29,2.84065,-15586
241.34,1.8708,-15040
241.39,-2.63767,-15042
241.44,-3.93107,-15198
241.49,-0.00955,-15776
241.54,1.81147,-16390
241.59,-1.82908,-16424
241.64,-2.79566,-16706
241.69,3.04199,-17502
241.74,6.25487,-17300
241.79,1.66846,-18704
241.84,-1.29907,-16992
241.89,2.74061,-17016
241.94,4.69432,-17772
241.99,-1.61961,-17696
242.04,-7.27261,-17686
242.09,-2.86573,-18132
242.14,5.20035,-18002
242.19,6.70931,-17396
242.24,3.59469,-16494
242.29,1.66865,-15952
242.34,0.45813,-15618
242.39,-1.33316,-15188
242.44,-0.6749,-14822
242.49,2.6556,-14332
242.54,2.86323,-14626
242.59,-1.54087,-15462
242.64,-3.70234,-16104
242.69,-0.63265,-16678
242.74,0.59586,-17694
242.79,-3.43162,-17586
242.84,-5.34431,-17282
242.89,-1.63979,-17346
242.94,-0.06231,-17648
242.99,-4.29227,-18664
243.04,-5.0488,-18118
243.09,1.53825,-17750
243.14,4.72082,-18026
243.19,0.0487,-17788
243.24,-2.51396,-17296
243.29,1.96232,-16236
243.34,3.90349,-15312
243.39,-2.51305,-14580
243.44,-6.24853,-14864
243.49,1.19756,-14688
243.54,8.09121,-14954
243.59,3.55537,-15496
243.64,-1.6014,-15870
243.69,2.58908,-16256
243.74,6.41373,-16982
243.79,2.38151,-16860
243.84,-1.7829,-16950
243.89,-0.74925,-17268
243.94,-0.09822,-17808
243.99,-4.7519,-18448
244.04,-9.5476,-19168
244.09,-6.43611,-18130
244.14,1.86893,-17570
244.19,5.63257,-17874
244.24,4.37669,-17702
244.29,4.9822,-17074
244.34,5.13504,-16032
244.39,-0.00536,-15136
244.44,-2.68263,-14506
244.49,2.24061,-14690
244.54,6.27657,-14632
244.59,4.33595,-14900
244.64,0.68428,-15674
244.69,-1.17857,-15776
244.74,-1.78849,-16098
244.79,-2.35102,-16970
244.84,-3.06364,-18254
244.89,-3.59963,-18372
244.94,-3.78998,-18484
244.99,-3.9709,-18546
245.04,-3.07668,-18718
245.09,-0.69741,-17712
245.14,-1.0704,-17784
245.19,-5.33649,-17424
245.24,-5.75484,-17172
245.29,-0.07888,-16560
245.34,1.60255,-15902
245.39,-3.17886,-15494
245.44,-3.33789,-15282
245.49,3.81436,-14838
245.54,7.142,-14756
245.59,2.27573,-14762
245.64,-0.37931,-15424
245.69,4.3483,-15900
245.74,6.02511,-16090
245.79,-0.46159,-16760
245.84,-3.89202,-17202
245.89,1.86371,-17658
245.94,5.40458,-18048
245.99,-0.30589,-18502
246.04,-3.4608,-19992
246.09,2.87178,-17688
246.14,7.00942,-17098
246.19,2.52262,-18272
246.24,-2.40111,-18174
246.29,-2.44446,-17466
246.34,-0.58436,-16406
246.39,0.01125,-16446
246.44,-0.08726,-15722
246.49,0.53669,-14998
246.54,0.85295,-14330
246.59,-0.71351,-13948
246.64,-2.86394,-14528
246.69,-2.76272,-15186
246.74,-0.93088,-15392
