t, ir 
1292.69000, -2.70145
1292.74000, -2.62747
1292.79000, -0.05006
1292.84000, 2.35473
1292.89000, 4.32918
1292.94000, 8.73312
1292.99000, 11.60337
1293.04000, 5.40179
1293.09000, -5.76061
1293.14000, -11.16567
1293.19000, -8.17880
1293.24000, -2.33369
1293.29000, 0.35833
1293.34000, -0.94675
1293.39000, -2.57860
1293.44000, -2.01919
1293.49000, -0.18029
1293.54000, 0.98722
1293.59000, 1.15910
1293.64000, 4.07472
1293.69000, 10.89260
1293.74000, 11.75761
1293.79000, 1.46235
1293.84000, -8.93328
1293.89000, -10.07303
1293.94000, -4.87089
1293.99000, -0.43389
1294.04000, -0.29034
1294.09000, -2.16325
1294.14000, -2.39094
1294.19000, -0.74366
1294.24000, 0.86539
1294.29000, 1.41282
1294.34000, 1.37258
1294.39000, 3.96572
1294.44000, 10.99797
1294.49000, 13.77986
1294.54000, 4.60178
1294.59000, -7.89550
1294.64000, -12.05720
1294.69000, -7.99024
1294.74000, -2.73409
1294.79000, -1.01856
1294.84000, -1.96180
1294.89000, -2.36969
1294.94000, -1.19211
1294.99000, 0.41171
1295.04000, 1.33831
1295.09000, 2.14136
1295.14000, 5.50782
1295.19000, 10.48803
1295.24000, 8.92235
1295.29000, -1.43143
1295.34000, -10.30615
1295.39000, -10.00523
1295.44000, -4.10584
1295.49000, 0.32753
1295.54000, 0.58293
1295.59000, -1.22461
1295.64000, -1.85479
1295.69000, -0.42312
1295.74000, 1.41636
1295.79000, 2.10533
1295.84000, 2.05498
1295.89000, 4.66715
1295.94000, 10.90274
1295.99000, 11.86375
1296.04000, 2.05886
1296.09000, -8.76884
1296.14000, -10.92058
1296.19000, -6.31722
1296.24000, -2.04239
1296.29000, -1.49405
1296.34000, -2.67686
1296.39000, -2.78263
1296.44000, -1.29745
1296.49000, 0.59062
1296.54000, 1.66247
1296.59000, 1.83463
1296.64000, 2.67988
1296.69000, 6.65019
1296.74000, 11.32557
1296.79000, 8.28404
1296.84000, -3.42010
1296.89000, -12.56381
1296.94000, -11.01515
1296.99000, -3.15964
1297.04000, 1.44662
1297.09000, -0.36147
1297.14000, -2.95419
1297.19000, -1.58777
1297.24000, 0.89738
1297.29000, 1.11698
1297.34000, 1.03026
1297.39000, 2.74880
1297.44000, 6.22022
1297.49000, 9.99025
1297.54000, 8.75392
1297.59000, 0.50779
1297.64000, -8.01450
1297.69000, -10.18089
1297.74000, -5.18009
1297.79000, 1.45940
1297.84000, 2.17734
1297.89000, -2.41075
1297.94000, -4.23605
1297.99000, -0.39158
1298.04000, 3.01992
1298.09000, 1.85474
1298.14000, 2.21549
298.39000, 8.02413
11298.54000, 9.37527
298.64000, 0.51324
11298.74000, -8.22875
1298.84000, -8.29499
1298.94000, -2.62790
8.99000, 2.65847
99.49000, 3.38986
1254.00000, -0.12488
1299.74000, -3.02918
12991300.09000, -3.07339
1300.14000, -2.43052
0.29000, -1.95708
130039.00000, 1.00098
1300.69000, 6.51650
1300.74000, 7.37044
0.84000, 0.15873
1301300.94000, -7.30310
1301.04000, -7.92534
1301.14000, -1.56230
1.19000, 7.73930
1301301.34000, 10.50414
1301.39000, 2.54764
1301.49000, -6.06663
1301.54000, -7.50549
4.00000, -5.16029
1301.89000, -1.26366
1302.14000, 4.60575
1302.29000, 6.14389
1302.59000, 0.76828
1302.74000, -3.11160
1302.84000, -3.03097
1302.94000, -3.38921
1303.19000, -3.97284
1303.34000, -0.81110
1303.39000, 6.80960
1303.54000, 9.80358
1303.59000, 2.07119
1303.69000, -6.64038
1303.79000, -7.53501
1303.94000, -4.06534
1303.99000, -1.33470
1304.34000, 0.11412
0.39000, 1.05014
13041304.54000, 1.14518
4.79000, 2.15454
131304.94000, 5.38154
1304.99000, 5.10929
9.00000, -0.42233
1305.19000, -3.80353
1305.39000, -2.70993
