t, ir, imu 
42.9,73.11438,35612
42.95,45.12753,35626
43,17.29491,35456
43.05,-45.55021,35630
43.1,-20.05137,35564
43.15,10.32317,35622
43.2,-8.80014,35800
43.25,69.14752,35638
43.3,21.33939,35308
43.35,-137.23252,35378
43.4,-115.89949,35544
43.45,-6.41811,35722
43.5,64.915,35560
43.55,27.37706,35470
43.6,-47.40791,35778
43.65,66.3527,35512
43.7,25.88649,35550
43.75,-58.73592,35618
43.8,14.54806,35678
43.85,34.45873,35636
43.9,14.72497,35536
43.95,-26.07177,35706
44,22.07342,35680
44.05,32.47551,35690
44.1,13.52668,35668
44.15,-1.58371,35520
44.2,-46.94588,35508
44.25,-84.58144,35600
44.3,-22.01678,35626
44.35,16.88038,35482
44.4,-25.84336,35644
44.45,-10.90312,35546
44.5,8.43825,35378
44.55,-70.48781,35654
44.6,12.64239,35476
44.65,29.72218,35568
44.7,7.83567,35474
44.75,7.95225,35698
44.8,61.79867,35474
44.85,25.93871,35490
44.9,-37.98128,35596
44.95,26.87818,35316
45,-28.91397,35524
45.05,-20.38276,35602
45.1,73.39135,35534
45.15,18.21437,35574
45.2,16.91889,35512
45.25,13.12485,35594
45.3,21.84033,35562
45.35,12.57416,35388
45.4,-50.86374,35596
45.45,-2.91792,35630
45.5,52.28613,35540
45.55,-3.43064,35558
45.6,-8.70914,35590
45.65,7.68118,35536
45.7,2.5851,35554
45.75,-24.08554,35540
45.8,-8.19054,35474
45.85,-38.46805,35604
45.9,-4.55548,35566
45.95,15.69386,35482
46,-28.0807,35626
46.05,21.86422,35546
46.1,8.04898,35552
46.15,-20.75202,35592
46.2,10.84199,35480
46.25,-9.14003,35490
46.3,-43.57272,35564
46.35,2.70635,35482
46.4,-10.57249,35496
46.45,-11.57253,36252
46.5,236.20051,35756
46.55,141.90882,36084
46.6,39.01564,35264
46.65,-116.78211,32470
46.7,-1142.29562,34326
46.75,-685.21629,31836
46.8,-611.74025,29782
46.85,-1640.85532,29798
46.9,-1163.40706,31378
46.95,-13.29842,29832
47,31.23658,29800
47.05,-105.436,30392
47.1,542.64035,28860
47.15,312.36355,28470
47.2,75.42015,29180
47.25,628.24944,29812
47.3,1071.82908,27614
47.35,435.16789,29786
47.4,761.07692,29140
47.45,1178.16203,26708
47.5,-35.45152,26822
47.55,-191.14887,24474
47.6,-466.34304,25220
47.65,-418.99355,26282
47.7,579.23047,28652
47.75,1443.27072,28676
47.8,1566.33663,28060
47.85,866.04576,27420
47.9,398.45458,27736
47.95,305.78356,27580
48,226.23509,28120
48.05,211.44195,28182
48.1,218.81778,28270
48.15,48.60159,28166
48.2,-103.11842,28116
48.25,-238.45581,27848
48.3,-399.9305,28018
48.35,-416.51682,27878
48.4,-427.43986,27936
48.45,-456.34674,27876
48.5,-430.35395,27544
48.55,-532.20561,28262
48.6,-308.26398,27904
48.65,-246.4744,28134
48.7,-316.76447,27666
48.75,-356.00239,27388
48.8,-498.10407,26510
48.85,-668.0424,27102
48.9,-450.83628,30242
48.95,822.59242,29138
49,773.58538,26044
49.05,-847.58518,27226
49.1,-691.89818,29800
49.15,734.43448,30418
49.2,1054.86217,21662
49.25,-1975.63342,26700
49.3,-1514.40137,24562
49.35,9.47213,24654
49.4,-848.0766,24018
49.45,-339.21532,31750
49.5,2133.58316,29986
49.55,2616.79594,29554
49.6,826.32401,28928
49.65,596.37076,28690
49.7,169.96048,28384
49.75,-66.9575,28034
49.8,-273.64972,26960
49.85,-649.96763,27168
49.9,-654.17374,28440
49.95,-1.98099,29624
50,510.40004,28834
50.05,195.91556,29338
50.1,5.1352,29402
50.15,118.6447,29708
50.2,47.20618,29070
50.25,-183.57021,28274
50.3,-611.45622,28336
50.35,-606.91438,29354
50.4,-114.62375,26244
50.45,-893.98874,27938
50.5,-810.65908,26828
50.55,-308.57076,27848
50.6,-274.53598,29028
50.65,550.12252,29408
50.7,694.07429,29942
50.75,689.28042,30212
50.8,679.66901,29984
50.85,417.38679,28068
50.9,-375.24335,27164
50.95,-903.86283,25626
51,-1140.68162,23012
51.05,-1817.17232,23600
51.1,-1382.8118,23852
51.15,-435.34471,24296
51.2,14.92201,26920
51.25,1150.3445,30150
51.3,2512.35335,29316
51.35,2139.76711,30536
51.4,1616.50447,29190
51.45,1101.31704,28810
51.5,236.59062,26306
51.55,-619.56469,27140
51.6,-759.49112,24336
51.65,-1117.21102,24610
51.7,-1383.11199,27046
51.75,55.98158,30234
51.8,1421.82572,30746
51.85,1584.98738,29990
51.9,722.71166,28472
51.95,-202.49065,27962
52,-653.95273,22664
52.05,-2195.66397,21426
52.1,-2984.58054,20732
52.15,-2115.18322,26124
52.2,148.94281,31984
