t, ir, imu 
875.81000, -1092539136.75009, -4294893548.00000
875.86000, -1623924409.11946, -4294894048.00000
875.91000, -799549533.88421, -4294895348.00000
875.96000, -588123076.00054, -4294898648.00000
876.01000, -308650625.34344, -4294892248.00000
876.06000, -76841666.96395, 19016.00000
876.11000, 1385009436.10410, 24514.00000
876.16000, 1920794729.61232, 26736.00000
876.21000, 1082071790.08743, 30356.00000
876.26000, 853574317.04160, 31146.00000
876.31000, 552690585.41336, 29498.00000
876.36000, 296087657.92383, 24840.00000
876.41000, 101227898.07183, 21602.00000
876.46000, -62601856.57494, -4294887648.00000
876.51000, -1481393221.32680, -4294889748.00000
876.56000, -1974415322.28732, -4294892848.00000
876.61000, -1103734580.80585, -4294887448.00000
876.66000, -850002255.04528, 23682.00000
876.71000, 763586790.25570, 24128.00000
876.76000, 1433375053.12624, 23092.00000
876.81000, 701077729.73941, 23366.00000
876.86000, 575289906.46219, 19996.00000
876.91000, 362085923.98980, -4294888948.00000
876.96000, -1111907054.81746, -4294893048.00000
877.01000, -1641426372.81746, -4294897148.00000
877.06000, -815072772.80359, -4294900448.00000
877.11000, -601611641.26293, -4294894048.00000
877.16000, -320098492.31969, -4294888948.00000
877.21000, -86294318.91464, 20120.00000
877.26000, 1377467165.47718, 24946.00000
877.31000, 1915052929.30758, 28146.00000
877.36000, 1077995331.50717, 30736.00000
877.41000, 851009304.68117, 32688.00000
877.46000, 551472408.00238, 29906.00000
877.51000, 296045077.63317, 24912.00000
877.56000, 102187872.58844, -4294886648.00000
877.61000, -1354367938.13915, -4294887948.00000
877.66000, -1878501757.49980, -4294896848.00000
877.71000, -1035242267.13823, -4294896148.00000
877.76000, -805632517.03171, 19030.00000
877.81000, 787498863.92107, 23342.00000
877.86000, 1440067537.12498, 23438.00000
877.91000, 693638150.60017, 23404.00000
877.96000, 556571214.27939, 21204.00000
878.01000, 334688460.97219, -4294886448.00000
878.06000, -1145637387.25773, -4294894348.00000
878.11000, -1679409626.26022, -4294894848.00000
878.16000, -855487591.72586, -4294899248.00000
878.21000, -642895418.14003, -4294899248.00000
878.26000, -360940937.62077, -4294892848.00000
878.31000, -125615519.14225, 16434.00000
878.36000, 1340524451.35279, 21032.00000
878.41000, 1881138504.81677, 26000.00000
878.46000, 1047575325.60258, 29308.00000
878.51000, 824382618.42868, 32406.00000
878.56000, 528791369.23712, 33246.00000
878.61000, 277337224.41926, 27686.00000
878.66000, 87372241.35038, 23162.00000
878.71000, -71900570.92723, -4294886448.00000
878.76000, -1486534848.55642, -4294891048.00000
878.81000, -1975844774.43692, -4294899748.00000
878.86000, -1101923851.85706, -4294891048.00000
878.91000, -845430084.97070, 22664.00000
878.96000, 770442647.21310, 23522.00000
879.01000, 1442046764.79126, 22822.00000
879.06000, 711122329.77903, 22866.00000
879.11000, 586294844.49085, 20328.00000
879.16000, 373674374.68298, -4294891248.00000
879.21000, -1100073508.96707, -4294893048.00000
879.26000, -1629642749.57145, -4294895648.00000
879.31000, -803591437.23917, -4294901248.00000
879.36000, -590645560.43995, -4294896848.00000
879.41000, -309817470.45752, -4294891048.00000
879.46000, -76827128.86905, 16926.00000
879.51000, 1386026770.79636, 22102.00000
879.56000, 1922644906.77063, 25914.00000
879.61000, 1084590567.75493, 30388.00000
879.66000, 856604849.75769, 32862.00000
879.71000, 556087636.56953, 31818.00000
879.76000, 299718862.55521, 28506.00000
879.81000, 104974957.10108, 18906.00000
879.86000, -58844537.55998, -4294887148.00000
879.91000, -1477712233.96001, -4294897948.00000
879.96000, -1970885542.99569, -4294902248.00000
880.01000, -1100416064.75431, -4294888448.00000
880.06000, -846934953.21961, 22918.00000
880.11000, 766366757.80279, 21346.00000
880.16000, 1435842374.61555, 20662.00000
880.21000, 703222422.83662, 20016.00000
880.26000, 577109552.46116, -4294885648.00000
880.31000, -929971671.95405, -4294893348.00000
880.36000, -1510285181.38007, -4294892548.00000
880.41000, -704325662.53075, -4294891548.00000
880.46000, -519679386.37422, -4294893348.00000
880.51000, -260863740.79843, -4294894348.00000
880.56000, -46724753.04657, -4294888948.00000
880.61000, 106422046.77152, 20258.00000
880.66000, 1523881988.79989, 23434.00000
880.71000, 2010982137.21118, 25346.00000
880.76000, 1133304482.01185, 28828.00000
880.81000, 872255279.25651, 31124.00000
880.86000, 544476376.73919, 28908.00000
880.91000, 266646622.10125, 25452.00000
880.96000, 55472615.27148, 18302.00000
881.01000, -120221406.83296, -4294892248.00000
881.06000, -1546954491.98798, -4294895648.00000
881.11000, -2044516398.46045, -4294887648.00000
881.16000, -1175467853.33334, 20566.00000
881.21000, 372612960.01081, 20206.00000
881.26000, 1094974475.90676, 19908.00000
881.31000, 433314756.56056, 18810.00000
881.36000, 347954589.80179, -4294886948.00000
881.41000, -1110667113.10220, -4294892548.00000
881.46000, -1649444645.10561, -4294892048.00000
881.51000, -806116930.79175, -4294895648.00000
881.56000, -588047296.29237, -4294899448.00000
881.61000, -300235662.99400, -4294897448.00000
881.66000, -61191506.24270, -4294893848.00000
881.71000, 112857615.88925, 17620.00000
881.76000, 1547428208.92156, 23660.00000
881.81000, 2048102471.14743, 27328.00000
881.86000, 1180735785.24349, 30826.00000
881.91000, 927038423.59836, 32008.00000
881.96000, 603969070.01478, 29862.00000
882.01000, 328530511.70016, 28340.00000
882.06000, 117752065.02483, 18584.00000
882.11000, -59229177.18813, -4294887148.00000
882.16000, -1488626634.37986, -4294895848.00000
